id_usuario,fecha_encuesta,edad,profesion,ingresos,gastos,emprendimiento,tipo_emprendimiento,casa,automovil,productos_financieros,ingresos_mensuales,objetivo_financiero,conocimiento_financiero,frecuencia_transacciones
5679,2024-10-12 15:20:42,46-55,Desempleado,"Pensiones, Comisiones, Dividendos","Deudas, Entretenimiento",Sí,Salud,"Sí, totalmente pagada","Sí, totalmente pagado","Cuenta corriente, Préstamo hipotecario, Ninguno, Cuenta de ahorros, Cuenta de ahorro para el retiro","$12,000 o más",Comprar propiedad,Intermedio,Nunca
4472,2024-10-12 15:20:42,26-35,Otro,"Comisiones, Intereses","Ahorro, Ropa, Entretenimiento",Sí,Construcción,"Sí, totalmente pagada",No,"Seguro de automóvil, Préstamo personal, Seguro de vida, Ninguno","$1,000 - $2,999",Comprar propiedad,Intermedio,Raramente
3646,2024-10-12 15:20:42,18-25,Independiente,"Freelance, Rentas, Comisiones","Alimentación, Vivienda, Educación",Sí,Comercio minorista,"Sí, con hipoteca",No,"Ninguno, Fondo de inversión, Cuenta de ahorro para el retiro, Préstamo hipotecario, Seguro de automóvil",Prefiero no decir,Comprar propiedad,Intermedio,Raramente
3114,2024-10-12 15:20:42,36-45,Desempleado,"Otro, Dividendos, Freelance","Vivienda, Alimentación, Ahorro",Sí,Turismo,"Sí, totalmente pagada","Sí, totalmente pagado","Crédito para negocio, Seguro de automóvil","$12,000 o más",Ahorrar para emergencia,Avanzado,Raramente
1739,2024-10-12 15:20:42,26-35,Empresario,"Salario fijo, Rentas, Comisiones","Servicios básicos, Salud",Sí,Gastronomía,"Sí, totalmente pagada","Sí, totalmente pagado","Préstamo hipotecario, Cuenta de ahorros, Ninguno, Cuenta corriente","$5,000 - $7,999",Comprar propiedad,Avanzado,Diariamente
3250,2024-10-12 15:20:42,46-55,Estudiante,"Pensiones, Dividendos",Deudas,Sí,Comercio minorista,"Sí, heredada","Sí, totalmente pagado","Crédito para negocio, Tarjeta de crédito, Seguro de automóvil, Cuenta corriente, Seguro de vida","$3,000 - $4,999",Pagar deudas,Principiante,Mensualmente
2105,2024-10-12 15:20:42,36-45,Empleado tiempo completo,"Comisiones, Salario fijo, Freelance","Alimentación, Transporte, Entretenimiento",No,,"Sí, con hipoteca",No,"Fondo de inversión, Cuenta de ahorros, Tarjeta de crédito, Depósito a plazo fijo","$1,000 - $2,999",Comprar propiedad,Intermedio,Raramente
5396,2024-10-12 15:20:42,26-35,Otro,Salario fijo,Salud,No,,"Sí, heredada","Sí, totalmente pagado","Seguro de automóvil, Tarjeta de crédito, Línea de crédito","$12,000 o más",Invertir en bolsa,Avanzado,Nunca
8188,2024-10-12 15:20:42,36-45,Desempleado,Negocios propios,"Mascotas, Ropa",Sí,Agricultura,"Sí, con hipoteca","Sí, financiado","Préstamo personal, Seguro de automóvil","$5,000 - $7,999",Pagar deudas,Principiante,Raramente
5203,2024-10-12 15:20:42,56-65,Jubilado,"Dividendos, Negocios propios, Otro","Deudas, Alimentación",No,,"Sí, totalmente pagada","Sí, totalmente pagado","Préstamo personal, Crédito para negocio, Seguro de vida, Tarjeta de crédito","Menos de $1,000",Ahorrar para educación,Intermedio,Mensualmente
8317,2024-10-12 15:20:42,66+,Independiente,Pensiones,Vivienda,Sí,Construcción,"Sí, totalmente pagada","Sí, totalmente pagado","Tarjeta de crédito, Cuenta corriente, Fondo de inversión, Cuenta de ahorros","$5,000 - $7,999",Comprar vehículo,Principiante,Raramente
9182,2024-10-12 15:20:42,18-25,Empresario,Freelance,Entretenimiento,Sí,Comercio minorista,"Sí, heredada","Sí, financiado","Cuenta de ahorro para el retiro, Préstamo hipotecario, Depósito a plazo fijo, Cuenta corriente, Crédito para negocio","$3,000 - $4,999",Otro,Avanzado,Nunca
8145,2024-10-12 15:20:42,56-65,Desempleado,"Freelance, Pensiones, Salario fijo","Ahorro, Mantenimiento hogar, Mascotas",Sí,Agricultura,"Sí, heredada","Sí, totalmente pagado","Cuenta de ahorros, Tarjeta de crédito, Depósito a plazo fijo, Seguro de automóvil, Ninguno","$5,000 - $7,999",Invertir en bolsa,Avanzado,Nunca
2854,2024-10-12 15:20:42,56-65,Estudiante,"Rentas, Dividendos",Mascotas,Sí,Salud,"Sí, con hipoteca","Sí, financiado","Fondo de inversión, Seguro de automóvil, Cuenta corriente, Línea de crédito","$1,000 - $2,999",Iniciar negocio,Intermedio,Semanalmente
9657,2024-10-12 15:20:42,46-55,Empresario,Freelance,"Mantenimiento hogar, Alimentación, Servicios básicos",No,,"Sí, con hipoteca","Sí, financiado","Fondo de inversión, Cuenta de ahorros, Seguro de automóvil","$5,000 - $7,999",Ahorrar para emergencia,Principiante,Mensualmente
1975,2024-10-12 15:20:42,26-35,Otro,Otro,"Entretenimiento, Deudas, Educación",Sí,Construcción,No,No,"Cuenta de ahorro para el retiro, Tarjeta de crédito, Seguro de automóvil","$5,000 - $7,999",Invertir en bolsa,Intermedio,Nunca
1234,2024-10-12 15:20:42,36-45,Otro,"Otro, Rentas, Comisiones","Educación, Entretenimiento, Servicios básicos",Sí,Artesanía,No,"Sí, financiado","Préstamo personal, Seguro de vida, Cuenta de ahorros, Crédito para negocio","$3,000 - $4,999",Invertir en bolsa,Intermedio,Nunca
1605,2024-10-12 15:20:42,18-25,Independiente,"Comisiones, Salario fijo, Dividendos","Salud, Transporte, Ropa",No,,"Sí, con hipoteca",No,"Fondo de inversión, Tarjeta de crédito, Préstamo hipotecario","$8,000 - $11,999",Ahorrar para emergencia,Principiante,Mensualmente
2155,2024-10-12 15:20:42,46-55,Estudiante,Negocios propios,"Transporte, Deudas, Entretenimiento",Sí,Otro,"Sí, totalmente pagada","Sí, financiado","Préstamo hipotecario, Línea de crédito",Prefiero no decir,Invertir en bolsa,Principiante,Diariamente
5254,2024-10-12 15:20:42,46-55,Empleado tiempo parcial,"Dividendos, Negocios propios","Ropa, Entretenimiento, Mascotas",Sí,Otro,"Sí, totalmente pagada",No,"Fondo de inversión, Línea de crédito, Crédito para negocio","$3,000 - $4,999",Ahorrar para emergencia,Avanzado,Semanalmente
2105,2024-10-12 15:20:42,26-35,Empleado tiempo completo,Pensiones,"Deudas, Salud, Servicios básicos",Sí,Construcción,No,"Sí, financiado","Seguro de vida, Préstamo hipotecario","$8,000 - $11,999",Pagar deudas,Avanzado,Raramente
5807,2024-10-12 15:20:42,18-25,Empresario,"Dividendos, Comisiones","Mantenimiento hogar, Ahorro",Sí,Artesanía,No,"Sí, financiado",Depósito a plazo fijo,Prefiero no decir,Otro,Principiante,Diariamente
1614,2024-10-12 15:20:42,36-45,Empleado tiempo parcial,"Freelance, Salario fijo, Dividendos",Alimentación,No,,No,"Sí, financiado","Depósito a plazo fijo, Seguro de automóvil, Ninguno, Fondo de inversión",Prefiero no decir,Comprar propiedad,Principiante,Mensualmente
6155,2024-10-12 15:20:42,26-35,Empresario,"Pensiones, Salario fijo",Entretenimiento,No,,"Sí, totalmente pagada","Sí, totalmente pagado","Crédito para negocio, Cuenta de ahorro para el retiro, Préstamo hipotecario, Cuenta corriente, Fondo de inversión","$12,000 o más",Ahorrar para emergencia,Principiante,Semanalmente
9079,2024-10-12 15:20:42,56-65,Desempleado,"Freelance, Negocios propios, Pensiones","Vivienda, Servicios básicos, Transporte",Sí,Agricultura,"Sí, totalmente pagada","Sí, totalmente pagado","Cuenta de ahorro para el retiro, Cuenta corriente","$5,000 - $7,999",Ahorrar para educación,Intermedio,Raramente
1791,2024-10-12 15:20:42,26-35,Jubilado,"Salario fijo, Otro","Salud, Mascotas",No,,"Sí, totalmente pagada","Sí, totalmente pagado",Tarjeta de crédito,"$8,000 - $11,999",Comprar propiedad,Experto,Diariamente
6965,2024-10-12 15:20:42,26-35,Empleado tiempo completo,Pensiones,"Transporte, Mascotas, Educación",Sí,Turismo,"Sí, totalmente pagada","Sí, financiado","Depósito a plazo fijo, Ninguno","$8,000 - $11,999",Comprar vehículo,Intermedio,Nunca
9304,2024-10-12 15:20:42,26-35,Empleado tiempo parcial,Rentas,"Vivienda, Deudas",No,,No,"Sí, totalmente pagado","Tarjeta de crédito, Cuenta de ahorros, Seguro de automóvil, Depósito a plazo fijo, Fondo de inversión","Menos de $1,000",Comprar vehículo,Intermedio,Diariamente
3050,2024-10-12 15:20:42,46-55,Empleado tiempo completo,"Salario fijo, Otro, Freelance","Ropa, Salud, Deudas",Sí,Comercio minorista,"Sí, heredada","Sí, totalmente pagado","Tarjeta de crédito, Cuenta corriente","$1,000 - $2,999",Comprar vehículo,Intermedio,Diariamente
4978,2024-10-12 15:20:42,36-45,Empleado tiempo parcial,"Intereses, Pensiones, Salario fijo","Salud, Ropa, Mascotas",Sí,Agricultura,No,No,"Línea de crédito, Seguro de automóvil, Préstamo personal, Depósito a plazo fijo, Cuenta corriente","$8,000 - $11,999",Ahorrar para educación,Avanzado,Diariamente
7631,2024-10-12 15:20:42,66+,Estudiante,Negocios propios,Transporte,Sí,Tecnología,No,No,"Tarjeta de crédito, Línea de crédito, Préstamo hipotecario","Menos de $1,000",Pagar deudas,Principiante,Nunca
6075,2024-10-12 15:20:42,26-35,Desempleado,"Otro, Intereses, Freelance","Vivienda, Deudas",No,,"Sí, heredada",No,"Seguro de vida, Fondo de inversión, Crédito para negocio","$1,000 - $2,999",Ahorrar para educación,Principiante,Diariamente
5434,2024-10-12 15:20:42,46-55,Desempleado,"Dividendos, Salario fijo","Ahorro, Entretenimiento",Sí,Educación,"Sí, con hipoteca","Sí, totalmente pagado","Préstamo personal, Cuenta de ahorros, Ninguno","$8,000 - $11,999",Pagar deudas,Intermedio,Raramente
9320,2024-10-12 15:20:42,66+,Otro,"Salario fijo, Negocios propios, Pensiones",Deudas,Sí,Educación,"Sí, con hipoteca","Sí, financiado","Cuenta de ahorro para el retiro, Tarjeta de crédito, Seguro de automóvil, Línea de crédito","$3,000 - $4,999",Invertir en bolsa,Avanzado,Mensualmente
8974,2024-10-12 15:20:42,56-65,Estudiante,"Salario fijo, Pensiones",Ahorro,No,,"Sí, totalmente pagada",No,"Cuenta corriente, Crédito para negocio","$1,000 - $2,999",Comprar vehículo,Intermedio,Diariamente
5857,2024-10-12 15:20:42,36-45,Jubilado,"Salario fijo, Negocios propios",Servicios básicos,Sí,Salud,"Sí, con hipoteca",No,"Préstamo hipotecario, Fondo de inversión","$8,000 - $11,999",Ahorrar para educación,Avanzado,Nunca
4586,2024-10-12 15:20:42,56-65,Estudiante,"Intereses, Pensiones","Ahorro, Mantenimiento hogar",No,,"Sí, heredada","Sí, financiado","Préstamo hipotecario, Cuenta corriente",Prefiero no decir,Invertir en bolsa,Avanzado,Diariamente
7009,2024-10-12 15:20:42,46-55,Empleado tiempo parcial,Intereses,"Educación, Mantenimiento hogar",No,,"Sí, totalmente pagada",No,"Seguro de vida, Seguro de automóvil, Ninguno, Línea de crédito","$12,000 o más",Otro,Principiante,Nunca
2395,2024-10-12 15:20:42,36-45,Empresario,Comisiones,"Ahorro, Ropa",Sí,Agricultura,"Sí, heredada","Sí, financiado",Cuenta de ahorro para el retiro,"$3,000 - $4,999",Iniciar negocio,Experto,Semanalmente
2469,2024-10-12 15:20:42,36-45,Estudiante,"Dividendos, Pensiones, Salario fijo",Educación,No,,"Sí, totalmente pagada",No,"Cuenta corriente, Seguro de vida, Depósito a plazo fijo","$8,000 - $11,999",Ahorrar para educación,Intermedio,Mensualmente
2033,2024-10-12 15:20:42,18-25,Desempleado,Pensiones,"Educación, Vivienda, Salud",No,,No,"Sí, totalmente pagado","Préstamo hipotecario, Línea de crédito, Cuenta de ahorro para el retiro, Seguro de vida","$3,000 - $4,999",Comprar vehículo,Intermedio,Nunca
7411,2024-10-12 15:20:42,36-45,Empleado tiempo parcial,"Freelance, Rentas",Ropa,No,,"Sí, con hipoteca","Sí, financiado",Cuenta corriente,"$1,000 - $2,999",Comprar vehículo,Experto,Diariamente
7478,2024-10-12 15:20:42,26-35,Empleado tiempo parcial,Comisiones,"Educación, Salud",Sí,Construcción,"Sí, heredada","Sí, financiado","Tarjeta de crédito, Cuenta de ahorros","Menos de $1,000",Ahorrar para emergencia,Avanzado,Mensualmente
8016,2024-10-12 15:20:42,56-65,Empleado tiempo completo,"Pensiones, Otro","Entretenimiento, Alimentación",No,,"Sí, con hipoteca","Sí, totalmente pagado","Préstamo hipotecario, Fondo de inversión","$8,000 - $11,999",Ahorrar para emergencia,Intermedio,Mensualmente
9136,2024-10-12 15:20:42,66+,Estudiante,Pensiones,Salud,No,,"Sí, con hipoteca","Sí, financiado",Depósito a plazo fijo,"$12,000 o más",Pagar deudas,Avanzado,Semanalmente
8356,2024-10-12 15:20:42,18-25,Empleado tiempo parcial,Freelance,"Deudas, Alimentación",Sí,Educación,"Sí, con hipoteca","Sí, totalmente pagado","Cuenta corriente, Ninguno, Cuenta de ahorros, Fondo de inversión, Cuenta de ahorro para el retiro","$1,000 - $2,999",Ahorrar para educación,Avanzado,Semanalmente
2946,2024-10-12 15:20:42,46-55,Jubilado,"Salario fijo, Freelance","Transporte, Educación",Sí,Tecnología,"Sí, heredada","Sí, totalmente pagado","Seguro de automóvil, Ninguno, Depósito a plazo fijo, Fondo de inversión, Tarjeta de crédito","$1,000 - $2,999",Comprar propiedad,Intermedio,Nunca
5767,2024-10-12 15:20:42,18-25,Independiente,"Pensiones, Comisiones, Intereses",Entretenimiento,No,,"Sí, heredada","Sí, financiado","Cuenta de ahorros, Cuenta de ahorro para el retiro","$12,000 o más",Pagar deudas,Experto,Diariamente
7984,2024-10-12 15:20:42,26-35,Independiente,Otro,"Transporte, Deudas, Entretenimiento",Sí,Otro,No,"Sí, totalmente pagado","Cuenta corriente, Seguro de vida, Crédito para negocio","$3,000 - $4,999",Otro,Experto,Diariamente
9303,2024-10-12 15:20:42,66+,Independiente,Dividendos,"Entretenimiento, Ahorro",Sí,Turismo,"Sí, totalmente pagada","Sí, financiado","Depósito a plazo fijo, Línea de crédito, Cuenta corriente","$12,000 o más",Ahorrar para emergencia,Principiante,Semanalmente
1183,2024-10-12 15:20:42,66+,Empresario,"Salario fijo, Rentas","Entretenimiento, Educación",Sí,Agricultura,"Sí, con hipoteca","Sí, financiado","Seguro de automóvil, Cuenta corriente, Línea de crédito","$3,000 - $4,999",Iniciar negocio,Avanzado,Diariamente
9355,2024-10-12 15:20:42,26-35,Empleado tiempo completo,Dividendos,"Servicios básicos, Mantenimiento hogar",Sí,Otro,No,"Sí, financiado","Crédito para negocio, Ninguno, Cuenta corriente, Línea de crédito",Prefiero no decir,Iniciar negocio,Principiante,Mensualmente
5046,2024-10-12 15:20:42,18-25,Empresario,Salario fijo,"Transporte, Deudas",Sí,Comercio minorista,No,No,Cuenta corriente,"$1,000 - $2,999",Otro,Intermedio,Raramente
5000,2024-10-12 15:20:42,56-65,Empleado tiempo parcial,Dividendos,Entretenimiento,No,,No,"Sí, financiado","Cuenta de ahorros, Cuenta corriente","$12,000 o más",Pagar deudas,Experto,Semanalmente
2841,2024-10-12 15:20:42,46-55,Jubilado,"Freelance, Comisiones, Otro","Educación, Salud, Transporte",Sí,Gastronomía,"Sí, totalmente pagada",No,"Seguro de vida, Crédito para negocio, Línea de crédito, Tarjeta de crédito","$3,000 - $4,999",Ahorrar para educación,Intermedio,Diariamente
9799,2024-10-12 15:20:42,46-55,Otro,"Otro, Freelance, Intereses","Entretenimiento, Servicios básicos, Transporte",Sí,Construcción,"Sí, totalmente pagada",No,"Crédito para negocio, Seguro de vida","$3,000 - $4,999",Otro,Intermedio,Diariamente
7598,2024-10-12 15:20:42,66+,Estudiante,"Otro, Rentas","Transporte, Mascotas, Mantenimiento hogar",No,,"Sí, totalmente pagada","Sí, totalmente pagado","Préstamo personal, Cuenta de ahorro para el retiro, Seguro de vida, Cuenta corriente, Depósito a plazo fijo","$5,000 - $7,999",Ahorrar para emergencia,Avanzado,Mensualmente
2928,2024-10-12 15:20:42,56-65,Empleado tiempo parcial,"Salario fijo, Rentas, Dividendos","Transporte, Alimentación",Sí,Construcción,"Sí, totalmente pagada","Sí, financiado","Depósito a plazo fijo, Seguro de vida","$1,000 - $2,999",Otro,Avanzado,Semanalmente
6388,2024-10-12 15:20:42,18-25,Empleado tiempo parcial,Rentas,Entretenimiento,Sí,Otro,No,"Sí, financiado","Cuenta de ahorros, Tarjeta de crédito, Seguro de automóvil","$8,000 - $11,999",Invertir en bolsa,Experto,Diariamente
1257,2024-10-12 15:20:42,26-35,Independiente,Salario fijo,"Mascotas, Alimentación",Sí,Educación,"Sí, con hipoteca","Sí, totalmente pagado","Fondo de inversión, Tarjeta de crédito, Línea de crédito, Cuenta de ahorro para el retiro","$1,000 - $2,999",Comprar vehículo,Experto,Raramente
4170,2024-10-12 15:20:42,66+,Independiente,Intereses,"Mascotas, Alimentación, Vivienda",Sí,Artesanía,No,No,"Préstamo personal, Tarjeta de crédito, Seguro de vida","Menos de $1,000",Pagar deudas,Avanzado,Mensualmente
7443,2024-10-12 15:20:42,46-55,Otro,Rentas,Ahorro,Sí,Artesanía,No,No,"Depósito a plazo fijo, Cuenta corriente, Cuenta de ahorros, Fondo de inversión","$1,000 - $2,999",Ahorrar para emergencia,Intermedio,Semanalmente
2883,2024-10-12 15:20:42,46-55,Otro,Rentas,Mascotas,Sí,Gastronomía,"Sí, totalmente pagada",No,"Préstamo hipotecario, Cuenta corriente, Ninguno, Cuenta de ahorros","$1,000 - $2,999",Invertir en bolsa,Experto,Semanalmente
6251,2024-10-12 15:20:42,36-45,Empleado tiempo parcial,"Comisiones, Salario fijo","Deudas, Mascotas, Educación",Sí,Salud,"Sí, heredada","Sí, totalmente pagado",Fondo de inversión,"$12,000 o más",Otro,Experto,Raramente
4098,2024-10-12 15:20:42,26-35,Empresario,"Salario fijo, Pensiones","Salud, Mascotas, Educación",Sí,Otro,"Sí, con hipoteca","Sí, totalmente pagado","Depósito a plazo fijo, Préstamo personal, Crédito para negocio","$3,000 - $4,999",Ahorrar para educación,Avanzado,Mensualmente
1533,2024-10-12 15:20:42,18-25,Empleado tiempo completo,"Pensiones, Intereses, Salario fijo","Ropa, Salud, Mascotas",No,,"Sí, totalmente pagada","Sí, financiado",Depósito a plazo fijo,Prefiero no decir,Invertir en bolsa,Avanzado,Raramente
7998,2024-10-12 15:20:42,46-55,Estudiante,"Comisiones, Otro, Rentas",Ahorro,No,,"Sí, totalmente pagada",No,"Préstamo personal, Cuenta corriente","$12,000 o más",Otro,Avanzado,Mensualmente
9203,2024-10-12 15:20:42,66+,Empleado tiempo parcial,"Rentas, Dividendos","Servicios básicos, Salud, Ahorro",No,,"Sí, heredada",No,"Depósito a plazo fijo, Cuenta de ahorros, Seguro de vida, Línea de crédito","$3,000 - $4,999",Otro,Intermedio,Mensualmente
6501,2024-10-12 15:20:42,36-45,Desempleado,Intereses,"Deudas, Ahorro, Salud",Sí,Tecnología,"Sí, con hipoteca","Sí, financiado","Línea de crédito, Fondo de inversión","$5,000 - $7,999",Ahorrar para emergencia,Experto,Raramente
9042,2024-10-12 15:20:42,66+,Empresario,Freelance,"Salud, Ahorro, Servicios básicos",Sí,Construcción,"Sí, con hipoteca",No,"Cuenta de ahorros, Línea de crédito, Préstamo hipotecario","Menos de $1,000",Comprar propiedad,Intermedio,Raramente
5401,2024-10-12 15:20:42,66+,Empleado tiempo parcial,Otro,Ropa,No,,No,"Sí, financiado",Crédito para negocio,"Menos de $1,000",Ahorrar para emergencia,Avanzado,Semanalmente
9433,2024-10-12 15:20:42,56-65,Desempleado,"Salario fijo, Comisiones",Educación,No,,"Sí, heredada","Sí, financiado",Seguro de vida,"$12,000 o más",Ahorrar para emergencia,Experto,Mensualmente
7240,2024-10-12 15:20:42,56-65,Independiente,"Otro, Intereses, Freelance","Transporte, Servicios básicos, Mascotas",Sí,Servicios profesionales,"Sí, heredada","Sí, totalmente pagado","Préstamo personal, Tarjeta de crédito","$8,000 - $11,999",Invertir en bolsa,Intermedio,Mensualmente
2115,2024-10-12 15:20:42,56-65,Desempleado,"Negocios propios, Freelance","Entretenimiento, Educación, Transporte",Sí,Comercio minorista,"Sí, totalmente pagada","Sí, totalmente pagado","Cuenta corriente, Depósito a plazo fijo","$1,000 - $2,999",Comprar vehículo,Principiante,Mensualmente
9672,2024-10-12 15:20:42,36-45,Independiente,"Comisiones, Otro",Mantenimiento hogar,Sí,Comercio minorista,No,"Sí, totalmente pagado","Tarjeta de crédito, Fondo de inversión, Cuenta de ahorro para el retiro","$8,000 - $11,999",Invertir en bolsa,Experto,Raramente
8335,2024-10-12 15:20:42,66+,Independiente,"Intereses, Rentas","Mascotas, Salud",Sí,Comercio minorista,"Sí, heredada","Sí, financiado",Depósito a plazo fijo,"$1,000 - $2,999",Ahorrar para emergencia,Intermedio,Nunca
5041,2024-10-12 15:20:42,66+,Otro,"Pensiones, Freelance, Comisiones",Vivienda,No,,"Sí, totalmente pagada","Sí, financiado","Cuenta de ahorros, Préstamo personal, Fondo de inversión, Ninguno, Depósito a plazo fijo","$3,000 - $4,999",Comprar vehículo,Experto,Mensualmente
2709,2024-10-12 15:20:42,46-55,Estudiante,"Rentas, Negocios propios, Comisiones",Ahorro,Sí,Turismo,"Sí, heredada",No,"Tarjeta de crédito, Préstamo hipotecario","$5,000 - $7,999",Comprar propiedad,Intermedio,Diariamente
2310,2024-10-12 15:20:42,26-35,Desempleado,Dividendos,Alimentación,No,,"Sí, heredada","Sí, financiado","Tarjeta de crédito, Seguro de automóvil","$3,000 - $4,999",Otro,Principiante,Raramente
1640,2024-10-12 15:20:42,66+,Estudiante,Salario fijo,"Transporte, Educación, Mascotas",No,,No,"Sí, totalmente pagado","Ninguno, Seguro de vida, Seguro de automóvil","$12,000 o más",Comprar propiedad,Principiante,Nunca
3894,2024-10-12 15:20:42,46-55,Empresario,"Pensiones, Rentas, Intereses","Alimentación, Ropa",No,,No,"Sí, financiado","Tarjeta de crédito, Cuenta corriente, Seguro de vida",Prefiero no decir,Iniciar negocio,Principiante,Mensualmente
5918,2024-10-12 15:20:42,46-55,Otro,Dividendos,"Salud, Ropa, Mascotas",Sí,Tecnología,No,"Sí, totalmente pagado","Línea de crédito, Fondo de inversión","Menos de $1,000",Ahorrar para educación,Principiante,Diariamente
4704,2024-10-12 15:20:42,36-45,Empresario,"Dividendos, Rentas","Transporte, Educación, Entretenimiento",Sí,Otro,"Sí, totalmente pagada","Sí, totalmente pagado","Fondo de inversión, Cuenta corriente",Prefiero no decir,Pagar deudas,Intermedio,Diariamente
9708,2024-10-12 15:20:42,46-55,Estudiante,"Pensiones, Dividendos",Mantenimiento hogar,Sí,Salud,"Sí, totalmente pagada","Sí, totalmente pagado","Seguro de automóvil, Fondo de inversión, Tarjeta de crédito","$5,000 - $7,999",Ahorrar para educación,Intermedio,Diariamente
8250,2024-10-12 15:20:42,56-65,Otro,Intereses,"Entretenimiento, Ropa",No,,"Sí, con hipoteca",No,"Préstamo hipotecario, Cuenta de ahorro para el retiro","$8,000 - $11,999",Comprar vehículo,Principiante,Nunca
4062,2024-10-12 15:20:42,46-55,Empresario,Pensiones,Vivienda,No,,"Sí, totalmente pagada",No,Crédito para negocio,"$3,000 - $4,999",Iniciar negocio,Avanzado,Mensualmente
1093,2024-10-12 15:20:42,26-35,Jubilado,"Rentas, Freelance","Ropa, Educación",Sí,Educación,"Sí, con hipoteca","Sí, totalmente pagado","Línea de crédito, Préstamo personal, Seguro de automóvil, Cuenta corriente","$8,000 - $11,999",Pagar deudas,Experto,Diariamente
9023,2024-10-12 15:20:42,56-65,Independiente,"Rentas, Salario fijo, Intereses","Alimentación, Entretenimiento",Sí,Turismo,"Sí, heredada","Sí, totalmente pagado","Depósito a plazo fijo, Cuenta de ahorro para el retiro, Crédito para negocio, Préstamo personal","$3,000 - $4,999",Ahorrar para emergencia,Intermedio,Raramente
7296,2024-10-12 15:20:42,46-55,Jubilado,Dividendos,"Vivienda, Entretenimiento, Deudas",Sí,Agricultura,No,"Sí, totalmente pagado","Préstamo hipotecario, Crédito para negocio, Depósito a plazo fijo","$12,000 o más",Pagar deudas,Avanzado,Raramente
5543,2024-10-12 15:20:42,36-45,Estudiante,"Negocios propios, Rentas",Entretenimiento,Sí,Comercio minorista,No,"Sí, totalmente pagado","Cuenta de ahorro para el retiro, Fondo de inversión","$3,000 - $4,999",Comprar propiedad,Principiante,Mensualmente
